Outcome,TCPR,edad,sexo_m,t_llegada,ritmo,n
ROSC,0.7591921706275173,0.9663769821538961,0.8862751418756551,0.9996923000781,7.289238112045003,303
Supervivencia,1.0480027979511406,0.9759588374543305,1.1973653329823797,0.999445545766404,6.152190102210532,305
CPC_favorable,0.8509929653482177,0.9758617677722733,1.209462486089624,0.9995014036181717,7.822577397266117,305
